Timestamp,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z
2024-01-03 23:53:43.359,14557,64,-37,7518
2024-01-03 23:53:43.372,14557,64,-37,7518
2024-01-03 23:53:43.401,14557,64,-37,7518
2024-01-03 23:53:43.429,14557,64,-37,7518
2024-01-03 23:53:43.469,14557,64,-37,7518
2024-01-03 23:53:43.484,14557,64,-37,7518
2024-01-03 23:53:43.512,14557,64,-37,7518
2024-01-03 23:53:43.537,14557,64,-37,7518
2024-01-03 23:53:43.582,14557,64,-37,7518
2024-01-03 23:53:43.621,14557,64,-37,7518
2024-01-03 23:53:43.643,14557,64,-37,7518
2024-01-03 23:53:43.652,14557,64,-37,7518
2024-01-03 23:53:43.675,14557,64,-37,7518
2024-01-03 23:53:43.705,14557,64,-37,7518
2024-01-03 23:53:43.728,14557,64,-37,7518
2024-01-03 23:53:43.756,14557,64,-37,7518
2024-01-03 23:53:43.782,14557,64,-37,7518
2024-01-03 23:53:43.811,14557,64,-37,7518
2024-01-03 23:53:43.842,14557,64,-37,7518
2024-01-03 23:53:43.866,14557,64,-37,7518
2024-01-03 23:53:43.899,14557,64,-37,7518
2024-01-03 23:53:43.925,14557,64,-37,7518
2024-01-03 23:53:43.948,14557,64,-37,7518
2024-01-03 23:53:43.977,14557,64,-37,7518
2024-01-03 23:53:44.007,14557,64,-37,7518
2024-01-03 23:53:44.030,14557,64,-37,7518
2024-01-03 23:53:44.057,14557,64,-37,7518
2024-01-03 23:53:44.103,14557,64,-37,7518
2024-01-03 23:53:44.118,14557,64,-37,7518
2024-01-03 23:53:44.142,14557,64,-37,7518
2024-01-03 23:53:44.171,14557,64,-37,7518
2024-01-03 23:53:44.206,14557,64,-37,7518
2024-01-03 23:53:44.222,14557,64,-37,7518
2024-01-03 23:53:44.254,14557,64,-37,7518
2024-01-03 23:53:44.279,14557,64,-37,7518
2024-01-03 23:53:44.303,14557,64,-37,7518
2024-01-03 23:53:44.344,14557,64,-37,7518
2024-01-03 23:53:44.367,14557,64,-37,7518
2024-01-03 23:53:44.387,14557,64,-37,7518
2024-01-03 23:53:44.441,14557,64,-37,7518
2024-01-03 23:53:44.446,14557,64,-37,7518
2024-01-03 23:53:44.465,14557,64,-37,7518
2024-01-03 23:53:44.504,14557,64,-37,7518
2024-01-03 23:53:44.522,14557,64,-37,7518
2024-01-03 23:53:44.583,14557,64,-37,7518
2024-01-03 23:53:44.589,14557,64,-37,7518
2024-01-03 23:53:44.603,14557,64,-37,7518
2024-01-03 23:53:44.633,14557,64,-37,7518
2024-01-03 23:53:44.684,14557,64,-37,7518
2024-01-03 23:53:44.715,14557,64,-37,7518
2024-01-03 23:53:44.717,14557,64,-37,7518
2024-01-03 23:53:44.752,14557,64,-37,7518
2024-01-03 23:53:44.767,14557,64,-37,7518
2024-01-03 23:53:44.802,14557,64,-37,7518
2024-01-03 23:53:44.823,14557,64,-37,7518
2024-01-03 23:53:44.846,14557,64,-37,7518
2024-01-03 23:53:44.886,14557,64,-37,7518
