Timestamp,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2024-01-03 23:59:11.300,-1.168524,-0.156433,76.362225,0.12,0.33,9.7,0.125,0.25,0.25,2.875,11.562,-31.375
2024-01-03 23:59:11.319,-1.041931,-0.192439,74.544941,-0.01,-0.09,9.57,-0.062,0.062,-0.125,3.25,11.562,-31.75
2024-01-03 23:59:11.332,-0.99281,-0.156044,75.112676,-0.09,0.01,9.63,-0.062,0.312,0.125,3.25,12.0,-31.75
2024-01-03 23:59:11.416,-1.031193,-0.295525,74.81047,0.0,0.05,9.67,0.0,0.062,-0.062,3.25,12.0,-31.75
2024-01-03 23:59:11.484,-0.979633,-0.328047,74.983242,0.16,0.0,9.69,0.0,-0.062,0.062,3.25,12.25,-32.5
2024-01-03 23:59:11.497,-0.951497,-0.383101,74.835811,0.24,0.07,9.62,0.125,-0.125,-0.188,3.25,12.25,-32.5
2024-01-03 23:59:11.526,-0.936576,-0.387695,71.399193,0.08,0.11,9.65,0.062,-0.125,0.0,4.0,12.0,-31.25
2024-01-03 23:59:11.610,-0.907772,-0.466939,72.416497,0.27,0.03,9.62,0.0,0.0,-0.062,3.562,11.562,-32.875
2024-01-03 23:59:11.623,-0.946145,-0.406901,74.79004,0.13,0.19,9.65,-0.125,-0.062,0.062,3.25,12.25,-31.25
2024-01-03 23:59:11.706,-0.862383,-0.425854,72.48191,-0.06,0.0,9.69,-0.125,0.062,-0.062,3.562,11.562,-32.875
2024-01-03 23:59:11.719,-0.866525,-0.452365,70.563121,0.18,0.21,9.54,-0.062,-0.375,-0.312,4.0,11.562,-31.75
2024-01-03 23:59:11.779,-0.858784,-0.435678,69.306207,0.02,0.12,9.66,0.125,-0.188,-0.125,4.0,10.75,-31.75
2024-01-03 23:59:11.824,-0.830658,-0.419819,69.318895,0.02,0.05,9.67,-0.062,-0.25,-0.062,4.0,10.75,-31.75
2024-01-03 23:59:11.878,-0.75776,-0.401399,75.155261,0.16,-0.02,9.58,0.0,-0.188,0.062,3.25,12.688,-32.5
2024-01-03 23:59:11.921,-0.791328,-0.396219,74.433757,0.05,0.24,9.62,0.0,-0.188,0.0,3.25,12.0,-30.562
2024-01-03 23:59:11.961,-0.751761,-0.394055,76.287998,0.06,0.0,9.74,0.062,0.0,-0.125,2.875,12.25,-31.25
2024-01-03 23:59:12.092,-0.707033,-0.413268,74.610057,0.08,0.02,9.69,-0.062,0.125,-0.375,3.25,12.25,-32.188
2024-01-03 23:59:12.131,-0.716301,-0.425327,75.932159,0.11,0.15,9.63,-0.125,0.062,0.188,2.875,12.0,-31.0
2024-01-03 23:59:12.156,-0.695298,-0.442571,72.923,0.13,0.05,9.67,0.0,-0.062,-0.188,3.562,12.0,-31.25
2024-01-03 23:59:12.178,-0.719471,-0.411601,74.334041,-0.03,0.2,9.72,0.125,0.125,0.25,3.25,12.0,-31.75
2024-01-03 23:59:12.240,-0.681432,-0.461247,74.848132,0.12,0.06,9.6,0.062,-0.125,0.062,2.875,11.188,-32.188
2024-01-03 23:59:12.286,-0.67988,-0.47366,73.119659,0.12,0.11,9.69,-0.062,0.062,-0.062,3.25,11.188,-31.25
2024-01-03 23:59:12.309,-0.69915,-0.470693,75.798975,0.07,0.18,9.68,0.062,0.312,0.0,2.875,12.0,-31.75
2024-01-03 23:59:12.353,-0.664193,-0.476814,75.762774,0.1,0.0,9.66,0.062,0.0,0.125,2.875,12.0,-31.75
2024-01-03 23:59:12.384,-0.648777,-0.479663,75.764374,0.09,0.06,9.66,-0.062,0.25,-0.062,2.875,12.0,-31.0
2024-01-03 23:59:12.511,-0.661167,-0.479293,72.811796,0.07,0.13,9.59,0.0,-0.062,-0.125,3.562,12.0,-31.375
2024-01-03 23:59:12.524,-0.657733,-0.499763,75.201746,0.15,0.1,9.67,0.0,0.062,0.125,2.875,11.562,-31.75
2024-01-03 23:59:12.590,-0.64567,-0.513446,75.159856,0.13,0.07,9.63,0.062,-0.062,0.062,2.875,11.562,-31.75
2024-01-03 23:59:12.606,-0.64295,-0.508469,73.002782,0.07,0.1,9.69,-0.125,0.062,0.062,3.25,11.188,-31.375
2024-01-03 23:59:12.631,-0.658396,-0.497919,69.684719,0.05,0.16,9.63,-0.062,0.062,0.25,4.0,11.188,-32.188
2024-01-03 23:59:12.674,-0.658437,-0.505985,74.052076,0.11,0.11,9.56,0.062,-0.062,0.188,3.25,12.0,-32.5
2024-01-03 23:59:12.707,-0.652344,-0.507514,72.706725,0.09,0.09,9.61,-0.188,0.0,-0.062,3.562,12.0,-32.875
2024-01-03 23:59:12.746,-0.634586,-0.502941,72.704265,0.07,0.05,9.64,-0.062,0.062,0.125,3.562,12.0,-32.875
2024-01-03 23:59:12.839,-0.635511,-0.504511,70.257198,0.09,0.11,9.65,0.188,-0.125,0.125,4.0,11.562,-31.25
2024-01-03 23:59:12.912,-0.619073,-0.551825,68.809361,0.21,0.02,9.61,0.0,-0.125,0.25,4.0,10.75,-31.0
2024-01-03 23:59:12.934,-0.605913,-0.524234,68.577854,0.0,0.06,9.66,-0.062,-0.062,-0.125,4.375,11.562,-32.5
2024-01-03 23:59:12.968,-0.637886,-0.492091,68.683223,-0.02,0.21,9.66,0.062,-0.062,0.25,4.375,11.562,-32.5
2024-01-03 23:59:12.993,-0.540759,-0.467486,68.656825,0.0,-0.22,9.66,0.0,0.25,0.312,4.375,11.562,-32.188
2024-01-03 23:59:13.022,-0.543624,-0.557687,66.238236,0.38,0.1,9.58,-0.125,0.062,-0.312,4.75,11.188,-31.75
2024-01-03 23:59:13.058,-0.560969,-0.609937,72.649423,0.27,0.15,9.65,0.25,-0.188,-0.188,3.25,11.188,-32.5
2024-01-03 23:59:13.175,-0.577587,-0.585396,70.102923,0.02,0.15,9.62,0.0,-0.125,-0.25,4.375,12.688,-33.25
2024-01-03 23:59:13.187,-0.671238,-0.702527,69.918128,0.49,0.41,9.58,0.0,0.062,0.312,4.375,12.688,-33.25
2024-01-03 23:59:13.220,-0.646629,-0.670385,71.147677,0.01,0.03,9.6,0.062,-0.125,-0.375,3.562,11.188,-33.0
2024-01-03 23:59:13.280,-0.634992,-0.654604,72.377025,0.06,0.07,9.69,0.0,0.125,0.25,3.562,12.0,-31.75
2024-01-03 23:59:13.305,-0.618707,-0.6396,68.361801,0.06,0.03,9.71,-0.125,0.375,0.125,4.375,11.562,-31.0
2024-01-03 23:59:13.317,-0.641954,-0.65463,68.349077,0.11,0.13,9.62,0.062,-0.062,-0.188,4.375,11.562,-31.0
